"","date","hour","j_day","day_time","month","year","filename"
"113","2014-03-30","13:00:00","89","da","03","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14089lst_da"
"114","2014-03-30","01:00:00","89","ni","03","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14089lst_ni"
"115","2014-04-07","13:00:00","97","da","04","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14097lst_da"
"116","2014-04-07","01:00:00","97","ni","04","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14097lst_ni"
"117","2014-04-15","13:00:00","105","da","04","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14105lst_da"
"118","2014-04-15","01:00:00","105","ni","04","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14105lst_ni"
"119","2014-04-23","13:00:00","113","da","04","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14113lst_da"
"120","2014-04-23","01:00:00","113","ni","04","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14113lst_ni"
"121","2014-05-01","13:00:00","121","da","05","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14121lst_da"
"122","2014-05-01","01:00:00","121","ni","05","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14121lst_ni"
"123","2014-05-09","13:00:00","129","da","05","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14129lst_da"
"124","2014-05-09","01:00:00","129","ni","05","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14129lst_ni"
"125","2014-05-17","13:00:00","137","da","05","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14137lst_da"
"126","2014-05-17","01:00:00","137","ni","05","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14137lst_ni"
"127","2014-05-25","13:00:00","145","da","05","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14145lst_da"
"128","2014-05-25","01:00:00","145","ni","05","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14145lst_ni"
"129","2014-06-02","13:00:00","153","da","06","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14153lst_da"
"130","2014-06-02","01:00:00","153","ni","06","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14153lst_ni"
"131","2014-06-10","13:00:00","161","da","06","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14161lst_da"
"132","2014-06-10","01:00:00","161","ni","06","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14161lst_ni"
"133","2014-06-18","13:00:00","169","da","06","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14169lst_da"
"134","2014-06-18","01:00:00","169","ni","06","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14169lst_ni"
"135","2014-06-26","13:00:00","177","da","06","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14177lst_da"
"136","2014-06-26","01:00:00","177","ni","06","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14177lst_ni"
"137","2014-07-04","13:00:00","185","da","07","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14185lst_da"
"138","2014-07-04","01:00:00","185","ni","07","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14185lst_ni"
"139","2014-07-12","13:00:00","193","da","07","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14193lst_da"
"140","2014-07-12","01:00:00","193","ni","07","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14193lst_ni"
"141","2014-07-20","13:00:00","201","da","07","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14201lst_da"
"142","2014-07-20","01:00:00","201","ni","07","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14201lst_ni"
"143","2014-07-28","13:00:00","209","da","07","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14209lst_da"
"144","2014-07-28","01:00:00","209","ni","07","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14209lst_ni"
"145","2014-08-05","13:00:00","217","da","08","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14217lst_da"
"146","2014-08-05","01:00:00","217","ni","08","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14217lst_ni"
"147","2014-08-13","13:00:00","225","da","08","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14225lst_da"
"148","2014-08-13","01:00:00","225","ni","08","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14225lst_ni"
"149","2014-08-21","13:00:00","233","da","08","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14233lst_da"
"150","2014-08-21","01:00:00","233","ni","08","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14233lst_ni"
"151","2014-08-29","13:00:00","241","da","08","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14241lst_da"
"152","2014-08-29","01:00:00","241","ni","08","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14241lst_ni"
"153","2014-09-06","13:00:00","249","da","09","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14249lst_da"
"154","2014-09-06","01:00:00","249","ni","09","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14249lst_ni"
"155","2014-09-14","13:00:00","257","da","09","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14257lst_da"
"156","2014-09-14","01:00:00","257","ni","09","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14257lst_ni"
"157","2014-09-22","13:00:00","265","da","09","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14265lst_da"
"158","2014-09-22","01:00:00","265","ni","09","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14265lst_ni"
"159","2014-09-30","13:00:00","273","da","09","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14273lst_da"
"160","2014-09-30","01:00:00","273","ni","09","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14273lst_ni"
"161","2014-10-08","13:00:00","281","da","10","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14281lst_da"
"162","2014-10-08","01:00:00","281","ni","10","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14281lst_ni"
"163","2014-10-16","13:00:00","289","da","10","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14289lst_da"
"164","2014-10-16","01:00:00","289","ni","10","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14289lst_ni"
"165","2014-10-24","13:00:00","297","da","10","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14297lst_da"
"166","2014-10-24","01:00:00","297","ni","10","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14297lst_ni"
"167","2014-11-01","13:00:00","305","da","11","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14305lst_da"
"168","2014-11-01","01:00:00","305","ni","11","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14305lst_ni"
"169","2014-11-09","13:00:00","313","da","11","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14313lst_da"
"170","2014-11-09","01:00:00","313","ni","11","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14313lst_ni"
"171","2014-11-17","13:00:00","321","da","11","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14321lst_da"
"172","2014-11-17","01:00:00","321","ni","11","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14321lst_ni"
"173","2014-11-25","13:00:00","329","da","11","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14329lst_da"
"174","2014-11-25","01:00:00","329","ni","11","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14329lst_ni"
"175","2014-12-03","13:00:00","337","da","12","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14337lst_da"
"176","2014-12-03","01:00:00","337","ni","12","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14337lst_ni"
"177","2014-12-11","13:00:00","345","da","12","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14345lst_da"
"178","2014-12-11","01:00:00","345","ni","12","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14345lst_ni"
"179","2014-12-19","13:00:00","353","da","12","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14353lst_da"
"180","2014-12-19","01:00:00","353","ni","12","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14353lst_ni"
"181","2014-12-27","13:00:00","361","da","12","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14361lst_da"
"182","2014-12-27","01:00:00","361","ni","12","2014","C:\Estagio\raw_datav2\tidy_data_v2\a14361lst_ni"
